identifier,group,oligomeric_state,lca_phylum,lca_class,lca_order,length
A0A0A0QTC5_IPR045860_1_1-74,mixture,multimere,Chordata (phylum),Amphibia (class),Caudata (order),50-72
A0A0B1TTD3_IPR045860_1_101-186,none,multimere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0B5H3N1_IPR045860_1_55-138,mixture,mixture,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0A0D8XCA3_IPR045860_1_21-94,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0F7JH26_IPR045860_2_115-193,Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0A0F7JJU4_IPR045860_2_115-190,Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0A0H4IS74_IPR045860_1_12-79,3FTx,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A0L7LGG9_IPR045860_1_22-117,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),95-117
A0A0M3I9L3_IPR045860_1_25-107,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0N4X504_IPR045860_1_33-137,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A0P4W7H5_IPR045860_1_31-136,none,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),95-117
A0A0P9ACU6_IPR045860_1_134-208,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A0Q9X0I8_IPR045860_1_28-91,Ly6,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),50-72
A0A0R3SPE6_IPR045860_1_21-117,none,monomere,Platyhelminthes (phylum),Cestoda (class),Cyclophyllidea (order),95-117
A0A151NBF6_IPR016054_2_118-213,Ly6,multimere,Chordata (phylum),Crocodylia (order),Crocodylia (order),95-117
A0A182NRB8_IPR045860_1_11-100,Ly6,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A182T9D9_IPR045860_1_16-138,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),117-140
A0A1B6M5B9_IPR045860_1_23-126,none,monomere,Arthropoda (phylum),Insecta (class),Neoptera (infraclass),95-117
A0A1D1VR81_IPR045860_1_26-119,Ly6,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),72-95
A0A1L8DNX1_IPR045860_1_16-113,mixture,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A1S3I521_IPR045860_1_32-130,none,monomere,Brachiopoda (phylum),Lingulata (class),Lingulida (order),95-117
A0A1W0X5V8_IPR045860_1_21-108,none,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),72-95
A0A1X7VDD8_IPR045860_2_332-438,none,multimere,Porifera (phylum),Demospongiae (class),Haplosclerida (order),95-117
A0A1Y1ME07_IPR045860_1_36-139,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0A210PYT3_IPR045860_1_22-108,none,monomere,Mollusca (phylum),Bivalvia (class),Pectinida (order),72-95
A0A210QN50_IPR045860_1_39-135,none,monomere,Mollusca (phylum),Bivalvia (class),Pectinida (order),95-117
A0A212DCM0_IPR016054_3_48-111,mixture,multimere,Chordata (phylum),Mammalia (class),Artiodactyla (order),50-72
A0A226DLD2_IPR045860_1_20-136,none,monomere,Arthropoda (phylum),Collembola (class),Entomobryomorpha (order),95-117
A0A261A643_IPR045860_1_109-183,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A261CFD3_IPR045860_1_43-105,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A2A6BBU1_IPR045860_1_21-111,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A2B4RPX7_IPR045860_1_41-112,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),50-72
A0A2B4SKJ9_IPR045860_1_18-118,mixture,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),95-117
A0A2C9LUJ8_IPR045860_1_23-110,none,monomere,Mollusca (phylum),Gastropoda (class),Planorbidae (family),72-95
A0A2G8KTZ2_IPR045860_1_2-90,Ly6,monomere,unknown,unknown,unknown,72-95
A0A2I4C5Z4_IPR045860_1_12-78,none,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),50-72
A0A2K6LLC0_IPR045860_1_3-80,none,monomere,Chordata (phylum),Mammalia (class),Primates (order),72-95
A0A2K6RF43_IPR045860_1_40-132,none,monomere,Chordata (phylum),Tetrapoda (clade),Tetrapoda (clade),95-117
A0A2K6TG80_IPR042339_1_1-122,Ly6,monomere,Chordata (phylum),Mammalia (class),Primates (order),117-140
A0A2Y9RV49_IPR045860_1_21-102,none,multimere,Chordata (phylum),Mammalia (class),Sirenia (order),72-95
A0A2Z6BDU1_IPR045860_1_59-175,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
A0A315W5G7_IPR045860_1_2-88,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A3B1JIR9_IPR045860_1_9-82,mixture,monomere,Chordata (phylum),Actinopteri (class),Otomorpha (cohort),72-95
A0A3B3CGX7_IPR045860_1_120-197,Ly6,multimere,Chordata (phylum),Actinopteri (class),Beloniformes (order),72-95
A0A3B3HHN0_IPR045860_1_19-68,Ly6,monomere,Chordata (phylum),Actinopteri (class),Beloniformes (order),50-72
A0A3B3WRR1_IPR045860_1_18-116,none,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),95-117
A0A3B4D2U2_IPR045860_1_17-89,mixture,monomere,Chordata (phylum),Actinopteri (class),Characiformes (order),72-95
A0A3B4WS10_IPR045860_1_13-79,Ly6,monomere,Chordata (phylum),Actinopteri (class),Carangiformes (order),50-72
A0A3B5API4_IPR016054_1_19-108,Ly6,multimere,Chordata (phylum),Actinopteri (class),Pomacentridae (family),72-95
A0A3B5MB32_IPR045860_1_5-54,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),50-72
A0A3B5R2K0_IPR016054_1_14-106,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A3M7QQQ6_IPR045860_1_43-114,Ly6,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),50-72
A0A3N0XQM4_IPR016054_1_19-103,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A3P8P6N2_IPR045860_1_59-132,none,monomere,Chordata (phylum),Actinopteri (class),Cichliformes (order),72-95
A0A3P8S358_IPR045860_1_17-86,Ly6,monomere,Chordata (phylum),Actinopteri (class),Pomacentridae (family),50-72
A0A3P8TD56_IPR016054_1_112-196,Ly6,mixture,Chordata (phylum),Actinopteri (class),Pomacentridae (family),72-95
A0A3P8WFJ1_IPR045860_1_22-94,none,monomere,Chordata (phylum),Actinopteri (class),Pleuronectiformes (order),72-95
A0A3P9C8K5_IPR045860_1_2-54,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cichliformes (order),50-72
A0A3P9LH33_IPR045860_1_40-118,Ly6,monomere,Chordata (phylum),Actinopteri (class),Beloniformes (order),72-95
A0A3Q0CFI0_IPR016054_7_698-771,mixture,mixture,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A3Q0HKP8_IPR045860_1_125-212,Ly6,multimere,Chordata (phylum),Crocodylia (order),Crocodylia (order),72-95
A0A3Q0R9C8_IPR045860_1_16-96,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cichliformes (order),72-95
A0A3Q1FJ16_IPR045860_1_41-104,Ly6,monomere,Chordata (phylum),Actinopteri (class),Pomacentridae (family),50-72
A0A3Q1II71_IPR016054_1_18-109,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anabantiformes (order),72-95
A0A3Q2DPX6_IPR016054_1_19-89,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),50-72
A0A3Q3F932_IPR045860_1_2-70,mixture,monomere,Chordata (phylum),Actinopteri (class),Percomorphaceae (clade),50-72
A0A3R7M2T2_IPR045860_1_38-113,Quiver,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),72-95
A0A401RT75_IPR016054_1_110-197,Ly6,multimere,Chordata (phylum),Chondrichthyes (class),Orectolobiformes (order),72-95
A0A498MKX1_IPR016054_2_173-244,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),50-72
A0A4D9DJB4_IPR045860_4_507-560,Ly6,multimere,Chordata (phylum),Testudines (order),Testudines (order),50-72
A0A4Q8K274_IPR045860_1_21-113,none,monomere,Arthropoda (phylum),Arachnida (class),Araneae (order),72-95
A0A4U5LZ18_IPR045860_1_27-101,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A4W3HRG0_IPR045860_1_22-97,none,monomere,Chordata (phylum),Chondrichthyes (class),Chimaeriformes (order),72-95
A0A4W5LRC6_IPR045860_1_16-116,none,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),95-117
A0A513ZV64_IPR045860_1_18-105,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A553PRN8_IPR045860_1_52-129,Quiver,monomere,Arthropoda (phylum),Hexanauplia (class),Harpacticoida (order),72-95
A0A5A9PF26_IPR045860_1_17-98,none,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A5F8H8H4_IPR016054_1_122-220,none,multimere,Chordata (phylum),Mammalia (class),Metatheria (clade),95-117
A0A5J5DJZ8_IPR045860_1_24-98,none,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A5N4A6I1_IPR045860_1_16-101,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A665SX48_IPR045860_1_19-78,Ly6,monomere,Chordata (phylum),Actinopteri (class),Carangiformes (order),50-72
A0A665TLL2_IPR045860_1_52-147,none,monomere,Chordata (phylum),Actinopteri (class),Carangiformes (order),95-117
A0A665VLV8_IPR045860_1_2-79,none,monomere,Chordata (phylum),Actinopteri (class),Carangiformes (order),72-95
A0A667YUN3_IPR045860_1_31-109,none,monomere,Chordata (phylum),Actinopteri (class),Holocentriformes (order),72-95
A0A670I9N6_IPR045860_1_102-176,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A670IP56_IPR045860_1_20-77,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A671FEA5_IPR016054_1_23-109,Ly6,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),72-95
A0A671VHM5_IPR045860_1_30-101,none,monomere,Chordata (phylum),Actinopteri (class),Spariformes (order),50-72
A0A672HXW0_IPR045860_1_8-80,Ly6,multimere,Chordata (phylum),Actinopteri (class),Blenniiformes (order),72-95
A0A673AVT1_IPR045860_2_30-109,Ly6,multimere,Chordata (phylum),Actinopteri (class),Kurtiformes (order),72-95
A0A674BKG4_IPR045860_1_21-83,none,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),50-72
A0A6A5F0Q3_IPR016054_2_87-169,Ly6,multimere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A6F9A3C8_IPR045860_1_1-77,none,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),72-95
A0A6G0IBR6_IPR016054_3_637-731,none,multimere,Chordata (phylum),Actinopteri (class),Sciaenidae (family),95-117
A0A6I8SDI6_IPR016054_1_21-108,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A6I9WD21_IPR045860_1_32-110,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),72-95
A0A6J0V7L5_IPR045860_1_13-90,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A6J2KPI1_IPR045860_1_286-366,mixture,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),72-95
A0A6J2XD35_IPR045860_1_21-80,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),50-72
A0A6J3FY28_IPR051445_1_7-146,Ly6,monomere,Chordata (phylum),Mammalia (class),Primates (order),140-162
A0A6M5WP22_IPR045860_1_30-129,none,monomere,Mollusca (phylum),Gastropoda (class),Littorinimorpha (order),95-117
A0A6P5AJE7_IPR045860_1_64-135,none,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),50-72
A0A6P5ISH2_IPR045860_1_15-100,none,monomere,Chordata (phylum),Mammalia (class),Metatheria (clade),72-95
A0A6P5QGD4_IPR045860_1_18-96,mostly_Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A6P7MES0_IPR045860_2_22-109,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anabantiformes (order),72-95
A0A6P7WXL4_IPR016054_1_16-105,Ly6,monomere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8ILA2_IPR045860_1_38-124,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A6P8NI02_IPR016054_2_19-107,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8PCT4_IPR045860_1_20-104,Ly6,monomere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8QU99_IPR016054_1_23-108,Ly6,monomere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8SVC6_IPR045860_1_104-188,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P9DEV7_IPR045860_1_112-192,mixture,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A6S7FVY4_IPR045860_1_15-107,none,monomere,Cnidaria (phylum),Anthozoa (class),Malacalcyonacea (order),72-95
A0A6V7Y1X0_IPR045860_1_9-84,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A7E4ZYH8_IPR045860_1_23-120,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A7I8V5T3_IPR045860_1_17-132,none,monomere,Annelida (phylum),Polychaeta (class),Dinophilidae (family),95-117
A0A7J6AW88_IPR045860_1_52-170,none,monomere,Chordata (phylum),Actinopteri (class),Characiphysae (superorder),117-140
A0A7J7F9L7_IPR051445_1_97-235,Ly6,monomere,Chordata (phylum),Mammalia (class),Perissodactyla (order),117-140
A0A7K7AEQ4_IPR045860_1_1-63,none,monomere,Chordata (phylum),Aves (class),Tinamiformes (order),50-72
A0A7L0RRJ1_IPR016054_1_4-89,Ly6,monomere,Chordata (phylum),Aves (class),Strigiformes (order),72-95
A0A7L1Q6M3_IPR045860_1_1-72,Ly6,monomere,Chordata (phylum),Aves (class),Telluraves (clade),72-95
A0A7M5WTF1_IPR045860_1_25-124,none,monomere,Cnidaria (phylum),Hydrozoa (class),Leptothecata (order),95-117
A0A7M7H913_IPR045860_1_42-137,mixture,monomere,Arthropoda (phylum),Insecta (class),Neoptera (infraclass),95-117
A0A7R9BTR0_IPR031424_1_14-107,none,monomere,Arthropoda (phylum),Ostracoda (class),Podocopida (order),72-95
A0A803JLE0_IPR045860_2_116-210,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),95-117
A0A813NKV6_IPR045860_1_19-90,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),50-72
A0A813QV19_IPR045860_1_43-97,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),50-72
A0A813W6N6_IPR045860_1_30-103,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),72-95
A0A814KYP1_IPR045860_1_12-118,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),95-117
A0A814QHY7_IPR045860_1_17-100,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),72-95
A0A815C0A8_IPR045860_1_77-155,none,monomere,Rotifera (phylum),Eurotatoria (class),Adinetida (order),72-95
A0A815RKE6_IPR045860_1_585-644,none,monomere,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),50-72
A0A816AGA0_IPR045860_1_5-119,Ly6,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),95-117
A0A816L0A5_IPR045860_1_5-83,mixture,monomere,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),72-95
A0A817KER1_IPR045860_1_17-102,mixture,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),72-95
A0A817U3B6_IPR045860_1_11-104,mixture,monomere,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),72-95
A0A818YQE1_IPR045860_1_24-99,mixture,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),72-95
A0A820PJN6_IPR045860_1_34-111,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),72-95
A0A821N3Y6_IPR045860_1_74-137,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),50-72
A0A834XI78_IPR045860_1_8-105,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
A0A850UXX8_IPR016054_1_7-96,Ly6,monomere,Chordata (phylum),Aves (class),Passeriformes (order),72-95
A0A898IKP8_IPR045860_1_12-78,mixture,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A8B6DBG7_IPR045860_1_23-119,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B6F8I9_IPR045860_2_37-92,none,multimere,Mollusca (phylum),Bivalvia (class),Mytilida (order),50-72
A0A8B6GJE0_IPR045860_1_35-134,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),95-117
A0A8B6HNX8_IPR045860_2_205-282,none,mixture,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B7DRJ4_IPR045860_1_22-104,none,monomere,Cnidaria (phylum),Hydrozoa (class),Anthoathecata (order),72-95
A0A8B7NKI4_IPR045860_1_51-136,Quiver,monomere,Arthropoda (phylum),Malacostraca (class),Amphipoda (order),72-95
A0A8B7Y5N4_IPR045860_1_25-135,none,monomere,Echinodermata (phylum),Asteroidea (class),Valvatida (order),95-117
A0A8B8A9S6_IPR045860_1_60-152,mixture,mixture,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8C0P373_IPR016054_1_42-125,none,monomere,Chordata (phylum),Mammalia (class),Carnivora (order),72-95
A0A8C1KSJ2_IPR016054_1_59-143,mixture,monomere,Chordata (phylum),Actinopteri (class),Ostariophysi (subcohort),72-95
A0A8C1PPZ9_IPR045860_1_39-122,none,monomere,Chordata (phylum),Actinopteri (class),Clupeocephala (clade),72-95
A0A8C2WST2_IPR045860_1_20-79,Ly6,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),50-72
A0A8C2ZCP8_IPR045860_1_19-109,Ly6,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A8C4E5L2_IPR016054_1_19-118,mostly_Ly6,monomere,Chordata (phylum),Actinopteri (class),Osteoglossocephalai (clade),72-95
A0A8C4GP85_IPR045860_1_13-79,Ly6,monomere,Chordata (phylum),Actinopteri (class),Moronidae (family),50-72
A0A8C4S0Q4_IPR045860_2_257-361,none,multimere,Chordata (phylum),Cladistia (class),Polypteriformes (order),95-117
A0A8C5DLT6_IPR045860_1_65-146,Ly6,multimere,Chordata (phylum),Actinopteri (class),Blenniiformes (order),72-95
A0A8C5QCK5_IPR045860_2_186-296,none,multimere,Chordata (phylum),Amphibia (class),Anura (order),95-117
A0A8C5QUT2_IPR045860_1_18-105,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C5QX63_IPR045860_1_17-91,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C5RAG8_IPR045860_2_19-101,none,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C6DP98_IPR045860_1_29-113,mixture,monomere,Chordata (phylum),Mammalia (class),Artiodactyla (order),72-95
A0A8C6HGM1_IPR045860_1_31-96,none,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),50-72
A0A8C6I338_IPR051445_1_2-113,Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),95-117
A0A8C6SSQ3_IPR045860_1_15-80,Ly6,multimere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),50-72
A0A8C6VGQ1_IPR016054_3_121-212,mixture,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A8C6WFA2_IPR045860_1_23-77,Ly6,monomere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),50-72
A0A8C7S950_IPR045860_1_19-103,Ly6,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),72-95
A0A8C9XC34_IPR045860_1_20-119,none,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),95-117
A0A8D2ITQ6_IPR045860_1_9-115,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
A0A8D8XUY3_IPR045860_1_35-131,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A8J0SVG8_IPR016054_3_191-280,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1IVF6_IPR045860_1_42-117,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1JV81_IPR045860_1_115-204,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1K142_IPR045860_1_15-104,Ly6,mixture,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1TSU4_IPR045860_1_20-122,none,monomere,Annelida (phylum),Polychaeta (class),Sabellida (order),95-117
A0A8J6E5M1_IPR045860_2_21-99,SPF,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J6EJS8_IPR016054_3_209-296,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J9ZAB5_IPR045860_1_23-104,none,mixture,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),72-95
A0A8K0CPZ1_IPR045860_1_19-101,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A8M9PKD7_IPR016054_1_108-181,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A8R1I102_IPR045860_1_11-83,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A8R2AJF6_IPR045860_1_2-106,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),95-117
A0A8S1DBV9_IPR045860_1_45-144,none,monomere,Arthropoda (phylum),Insecta (class),Ephemeroptera (order),95-117
A0A8S3ZH90_IPR045860_1_1-79,none,monomere,Mollusca (phylum),Gastropoda (class),Stylommatophora (order),72-95
A0A8S4PAG5_IPR045860_1_21-122,none,monomere,Annelida (phylum),Polychaeta (class),Sabellida (order),95-117
A0A8S9ZVH1_IPR045860_1_45-126,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A8T0BAJ0_IPR045860_1_25-122,none,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),95-117
A0A8T2IRT7_IPR045860_2_115-195,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8T3CV86_IPR016054_1_22-105,none,monomere,Chordata (phylum),Actinopteri (class),Albuliformes (order),72-95
A0A8W8KDT8_IPR016054_2_125-182,none,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),50-72
A0A913WSK3_IPR045860_1_22-113,none,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A913X5K0_IPR016054_1_21-117,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),95-117
A0A913Y9B0_IPR045860_1_14-111,none,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),95-117
A0A914AA23_IPR045860_1_28-114,Quiver,monomere,Echinodermata (phylum),Asteroidea (class),Valvatida (order),72-95
A0A914CFZ1_IPR045860_1_7-82,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914GGL5_IPR045860_1_32-106,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914MCY7_IPR045860_1_10-72,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A915HTB6_IPR045860_1_12-72,none,monomere,Nematoda (phylum),Enoplea (class),Mermithida (order),50-72
A0A974CHU8_IPR045860_1_18-105,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A974CLJ7_IPR045860_1_1-73,mixture,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A974H7M9_IPR045860_1_21-106,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A9C6U3I7_IPR045860_1_124-218,none,monomere,Arthropoda (phylum),Insecta (class),Thysanoptera (order),95-117
A0A9D3PSP2_IPR045860_2_36-119,none,multimere,Chordata (phylum),Actinopteri (class),Elopiformes (order),72-95
A0A9D3TAC7_IPR045860_1_20-118,mostly_Ly6,monomere,Chordata (phylum),Euteleostomi (clade),Euteleostomi (clade),72-95
A0A9D4B7U8_IPR045860_1_40-132,none,monomere,Mollusca (phylum),Bivalvia (class),Myida (order),72-95
A0A9D4ED36_IPR045860_1_18-105,none,monomere,Mollusca (phylum),Bivalvia (class),Myida (order),72-95
A0A9F2WEY4_IPR045860_1_115-201,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A9J7HNC7_IPR045860_1_19-122,mixture,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),95-117
A0A9N9TID5_IPR045860_1_25-124,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0A9P0A2I0_IPR045860_1_17-117,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A9P0D3W0_IPR045860_1_36-132,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0A9P0GIB7_IPR045860_1_111-191,SPF,multimere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9P0KV69_IPR045860_1_1-75,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9P1MJ01_IPR045860_1_17-102,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A9Q0RVX5_IPR045860_1_58-154,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A9Q0X962_IPR045860_1_197-275,none,mixture,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A9Q1AQ83_IPR045860_2_17-101,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A9Q1C1X9_IPR045860_1_25-134,none,monomere,Echinodermata (phylum),Holothuroidea (class),Aspidochirotida (order),95-117
A0A9Q1E5S6_IPR045860_1_1-51,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anguilliformes (order),50-72
A0A9Q1FAM7_IPR045860_1_18-105,Ly6,monomere,Chordata (phylum),Actinopteri (class),Anguilliformes (order),72-95
A0A9W2XRL2_IPR016054_1_20-104,Ly6,mixture,Chordata (phylum),Actinopteri (class),Anabantiformes (order),72-95
A0A9W9Z0Q6_IPR045860_1_25-101,none,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A9Y3S0P4_IPR045860_1_45-132,none,monomere,Chordata (phylum),Actinopteri (class),Cichliformes (order),72-95
A0AA35KP89_IPR045860_1_17-99,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA35KQ66_IPR045860_1_100-184,mixture,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
