Entry	Organism (ID)	InterPro	Pfam	Protein names
A0A671EJ01	59479	IPR016054;	PF00021;	Prostate and testis expressed 3
A0A671EQU3	59479	IPR016054;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671F8H9	59479	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen
A0A671F8Q9	59479	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A671F9U2	59479	IPR016054;IPR042339;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member D
A0A671FAT4	59479	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member E
A0A671FB30	59479	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6 family member L
A0A671FEA5	59479	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A671FIW7	59479	IPR016054;IPR045860;IPR052874;	PF00021;	Glycosylphosphatidylinositol anchored molecule like
A0A671K244	1608454	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A671K3S8	1608454	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B-like
A0A671KMV6	1608454	IPR045860;		Si:dkeyp-80c12.8
A0A671KN64	1608454	IPR016054;IPR045860;	PF00021;	Cytotoxin 7-like
A0A671LA31	1608454	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A671LA45	1608454	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A671LWA6	1608454	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A671M1T2	1608454	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A671M4G5	1608454	IPR045860;		Ly6/PLAUR domain-containing protein 1-like
A0A671NU48	1608454	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 97, tandem duplicate 3
A0A671NU53	1608454	IPR016054;IPR045860;	PF00021;	Cytotoxin 7-like
A0A671NX99	1608454	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 97, tandem duplicate 3
A0A671NXA3	1608454	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A671P122	1608454	IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A671P3N3	1608454	IPR016054;IPR045860;	PF00021;	Ly6 domain containing, pigment cell
A0A671P793	1608454	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A671P7Q7	1608454	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A671P996	1608454	IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A671PBY4	1608454	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671PE07	1608454	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A671PFH2	1608454	IPR050918;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member M6
A0A671PJ62	1608454	IPR045860;		Uncharacterized protein
A0A671PJ70	1608454	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A671PJ74	1608454	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member M7
A0A671PJ87	1608454	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Prostate stem cell antigen-like
A0A671PJ93	1608454	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A671PNT4	1608454	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A671PNU3	1608454	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B-like
A0A671PRA3	1608454	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671PTR1	1608454	IPR016054;IPR045860;IPR035076;	PF00087;	Potassium inwardly rectifying channel subfamily J member 11, like
A0A671PU77	1608454	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671QGA0	1608454	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671QGB3	1608454	IPR050918;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A671QGF5	1608454	IPR051110;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671QGG3	1608454	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A671QWX3	1608454	IPR045860;IPR035076;	PF00087;	Urokinase plasminogen activator surface receptor-like
A0A671R119	1608454	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A671R165	1608454	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A671R187	1608454	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671R188	1608454	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A671RFN6	1608454	IPR045860;		LY6/PLAUR domain containing 1
A0A671SE18	1608454	IPR016054;IPR045860;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671SLJ0	1608454	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 97, tandem duplicate 3
A0A671SLJ5	1608454	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671SLK0	1608454	IPR016054;IPR045860;	PF00021;	CD59B glycoprotein-like
A0A671SN20	1608454	IPR016054;IPR045860;	PF00021;	Cytotoxin 7-like
A0A671T4W7	1608454	IPR016054;IPR045860;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671TEP5	8175	IPR045860;IPR035076;	PF00087;	Si:ch211-113d22.2
A0A671TJB0	8175	IPR016054;IPR045860;		CD59 glycoprotein-like
A0A671TNJ7	8175	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671TQ27	8175	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671U5D5	8175	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671U746	8175	IPR045860;		Three-finger toxin MALT0070C-like
A0A671U751	8175	IPR045860;		Uncharacterized protein
A0A671U757	8175	IPR045860;		Secreted Ly-6/uPAR domain-containing protein 2-like
A0A671V7K9	8175	IPR045860;		LY6/PLAUR domain containing 1
A0A671VA50	8175	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A671VRP4	8175	IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen-like
A0A671W433	8175	IPR018363;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein
A0A671WUK7	8175	IPR045860;		LY6/PLAUR domain containing 1
A0A671WYN1	8175	IPR016054;IPR045860;	PF00021;	Prostate stem cell antigen-like
A0A671WYW1	8175	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671X459	8175	IPR016054;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A671X4Y4	8175	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A671XJ26	8175	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Plasminogen activator, urokinase receptor
A0A671XKD6	8175	IPR045860;		CD59 glycoprotein-like
A0A671Y608	8175	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A671YBK0	8175	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671YF43	8175	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A671YG26	8175	IPR045860;		UPAR/Ly6 domain-containing protein
A0A671YG32	8175	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A671YM24	8175	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A671YZ92	8175	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672FBY2	181472	IPR045860;		LY6/PLAUR domain containing 1
A0A672FHW3	181472	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672FYF0	181472	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672GP35	181472	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A672GP50	181472	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672GP55	181472	IPR016054;IPR045860;		CD59 glycoprotein-like
A0A672GQK8	181472	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672H2G5	181472	IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A672H2H7	181472	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672H7D8	181472	IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member pge
A0A672HLC3	181472	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A672HWK6	181472	IPR045860;		Ly6/PLAUR domain-containing protein 1-like
A0A672HWU7	181472	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672HXW0	181472	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A672HXX6	181472	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Uncharacterized protein
A0A672HY15	181472	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672HY26	181472	IPR050918;IPR045860;		Uncharacterized protein
A0A672HY60	181472	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A672HY65	181472	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672I235	181472	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A672ICB4	181472	IPR045860;IPR035076;	PF00087;	Si:ch211-113d22.2
A0A672IIM2	181472	IPR045860;		Uncharacterized protein
A0A672ILH2	181472	IPR000472;IPR045860;	PF01064;	Activin types I and II receptor domain-containing protein
A0A672INL4	181472	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672IP92	181472	IPR016054;IPR045860;IPR046354;	PF00021;	Prostate stem cell antigen-like
A0A672IT80	181472	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672IYU9	181472	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672J2F4	181472	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672J507	181472	IPR016054;IPR045860;		Prostate stem cell antigen-like
A0A672JYU3	75366	IPR050918;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672K6L9	75366	IPR016054;IPR045860;	PF00021;	Ly6 domain containing, pigment cell
A0A672K6Q2	75366	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672KAJ3	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	Urokinase plasminogen activator surface receptor-like
A0A672KEZ9	75366	IPR045860;IPR046354;		Activin types I and II receptor domain-containing protein
A0A672KJW9	75366	IPR050918;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member M6
A0A672KJX4	75366	IPR045860;		Uncharacterized protein
A0A672KLN8	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member M7
A0A672KS24	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Lymphocyte antigen 6 family member M7
A0A672KS31	75366	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672KY89	75366	IPR050918;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672KYA0	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	Urokinase plasminogen activator surface receptor-like
A0A672LDM7	75366	IPR016054;IPR045860;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672M751	75366	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672M7K7	75366	IPR045860;		LY6/PLAUR domain containing 1
A0A672MBA7	75366	IPR045860;		Ly6/PLAUR domain-containing protein 1-like
A0A672MBC3	75366	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672MD65	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A672MJM7	75366	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6B-like
A0A672MKG9	75366	IPR000472;IPR045860;	PF01064;	Activin types I and II receptor domain-containing protein
A0A672N7B9	75366	IPR016054;IPR045860;	PF00021;	CD59B glycoprotein-like
A0A672N7C5	75366	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A672N8H0	75366	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672NCK4	75366	IPR045860;IPR035076;	PF00087;	Weak neurotoxin WNTX33-like
A0A672NNU8	75366	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A672P9Q2	75366	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 molecule (CD59 blood group)
A0A672PPE0	75366	IPR050918;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672PPJ5	75366	IPR051110;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672PR90	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Urokinase plasminogen activator surface receptor-like
A0A672PWU8	75366	IPR050918;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member M5
A0A672PXG5	75366	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6B
A0A672PYY3	75366	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672QSN4	75366	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Prostate stem cell antigen-like
A0A672R0F3	75366	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A672R8E7	75366	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A672R8F2	75366	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672R8S0	75366	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A672RY43	75366	IPR045807;IPR045860;	PF06211;	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) b
A0A672S1E4	75366	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A672SF16	75366	IPR045860;		Si:ch211-113d22.2
A0A672SKQ9	75366	IPR016054;IPR045860;	PF00021;	CD59B glycoprotein-like
A0A672SLB5	75366	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A672SLC1	75366	IPR016054;IPR045860;	PF00021;	CD59B glycoprotein-like
A0A672SLY9	75366	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672SMH5	75366	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A672SNF4	75366	IPR016054;IPR045860;	PF00021;	Cytotoxin 6-like
A0A672T7H9	75366	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B-like
A0A672TAY2	75366	IPR039457;	PF16975;	Uncharacterized protein
A0A672TH77	2489341	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A672TH82	2489341	IPR051110;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672THH7	2489341	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6E
A0A672TI63	2489341	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672TI68	2489341	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	LY6/PLAUR domain containing 2
A0A672TJI5	2489341	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6E-like
A0A672TJI9	2489341	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672TKV9	2489341	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A672U2D3	2489341	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672V040	2489341	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672V050	2489341	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6B
A0A672V3I6	2489341	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672V817	2489341	IPR016054;IPR045860;	PF00021;	LY6/PLAUR domain containing 1
A0A672Y3M0	375764	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672YAZ8	375764	IPR045860;		LY6/PLAUR domain containing 1
A0A672YBK7	375764	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A672YEL0	375764	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672YFI7	375764	IPR045860;		CD59 molecule (CD59 blood group)
A0A672YFI9	375764	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672YS58	375764	IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A672YVN6	375764	IPR018363;IPR045860;		UPAR/Ly6 domain-containing protein
A0A672Z7F9	375764	IPR045860;		Uncharacterized protein
A0A672Z7G4	375764	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A672Z8X9	375764	IPR016054;IPR045860;	PF00021;	Prostate stem cell antigen
A0A672Z9K0	375764	IPR045860;		Uncharacterized protein
A0A672Z9Y7	375764	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672Z9Z1	375764	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome associated 4
A0A672ZI34	375764	IPR045860;		UPAR/Ly6 domain-containing protein
A0A672ZLK8	375764	IPR045860;IPR046354;		UPAR/Ly6 domain-containing protein
A0A672ZNV7	375764	IPR016054;IPR045860;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673A095	375764	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A673A3A6	375764	IPR016054;IPR045860;IPR046354;	PF00021;	Protein Bouncer-like
A0A673AEE4	375764	IPR045860;		UPAR/Ly6 domain-containing protein
A0A673AFY2	375764	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673AFY7	375764	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AL84	375764	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AS77	375764	IPR016054;IPR045860;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AUY9	375764	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AV07	375764	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AVW4	375764	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AYP3	375764	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A673AYQ7	375764	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673AYS7	375764	IPR050918;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673B1B5	375764	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A673B3F0	375764	IPR045860;		LY6/PLAUR domain containing 1
A0A673B5R9	375764	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A673CYJ8	375764	IPR045860;		Si:ch211-113d22.2
A0A673FHX4	307959	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673FIC5	307959	IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A673FMS7	307959	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673FMT6	307959	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673FN79	307959	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member M7
A0A673FQK7	307959	IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member pge
A0A673FQZ4	307959	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member pge
A0A673FRI6	307959	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Prostate stem cell antigen-like
A0A673FRW7	307959	IPR045860;		Uncharacterized protein
A0A673G3Z3	307959	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A673GL86	307959	IPR016054;IPR045860;	PF00021;	Cytotoxin 7-like
A0A673GQY2	307959	IPR050918;IPR016054;IPR045860;	PF00021;	Neuromast-expressed gpi-anchored lymphocyte antigen 6
A0A673GR09	307959	IPR016054;IPR045860;	PF00021;	Neuromast-expressed gpi-anchored lymphocyte antigen 6
A0A673H0U6	307959	IPR045860;		LY6/PLAUR domain containing 1
A0A673H2Z8	307959	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	Urokinase plasminogen activator surface receptor-like
A0A673HDH0	307959	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A673HFQ2	307959	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673HL92	307959	IPR045860;IPR046354;		UPAR/Ly6 domain-containing protein
A0A673HTJ4	307959	IPR016054;IPR045860;	PF00021;	Lymphocyte antigen 6 family member pge
A0A673HWQ2	307959	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly6/PLAUR domain-containing protein 2-like
A0A673HZD0	307959	IPR016054;IPR045860;IPR046354;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673I9H5	307959	IPR016054;IPR045860;	PF00021;	Cytotoxin 7-like
A0A673IDR7	307959	IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A673IF11	307959	IPR016054;IPR045860;	PF00021;	Ly6/neurotoxin 1
A0A673III8	307959	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A673ILJ2	307959	IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A673J7I9	307959	IPR045860;		Ly6/PLAUR domain-containing protein 1-like
A0A673JB66	307959	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 molecule (CD59 blood group)
A0A673JU68	307959	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A673K846	307959	IPR051110;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673KIQ4	307959	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B-like
A0A673KJV9	307959	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673KK28	307959	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4-like
A0A673KQ72	307959	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A673KW17	307959	IPR045860;		Si:ch211-113d22.2
A0A673KYQ6	307959	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6-like
A0A673KYR2	307959	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B-like
A0A673L381	307959	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein-like
A0A673LEW2	307959	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome associated 4 like
A0A673LHZ0	307959	IPR045860;		Ly6 domain containing, pigment cell
A0A673LKX7	307959	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A673LLK8	307959	IPR045860;		Uncharacterized protein
A0A673LNB7	307959	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A673LSY2	307959	IPR016054;IPR045860;	PF00021;	CD59 glycoprotein-like
A0A673LV19	307959	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673MFK6	307959	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A673MPP2	307959	IPR016054;IPR045860;IPR035076;	PF00087;	Potassium inwardly rectifying channel subfamily J member 11, like
A0A673NH03	307959	IPR045860;		Si:dkeyp-80c12.8
A0A673SWZ0	37032	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6B
A0A673T285	37032	IPR016054;IPR026110;	PF00021;	Lymphocyte antigen 6 complex locus protein G5c
A0A673T337	37032	IPR016054;IPR039237;IPR045860;	PF00021;	Lymphocyte antigen 6 family member G6C
A0A673T3J9	37032	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A673U7X6	37032	IPR016054;	PF00021;	Prostate and testis expressed 3
A0A673U7Z2	37032	IPR016054;	PF00021;	Prostate and testis expressed 3
A0A673UGF3	37032	IPR016054;IPR029691;	PF00021;	Prostate and testis expressed 2
A0A673UH05	37032	IPR016054;	PF00021;	Prostate and testis expressed 1
A0A673UH91	37032	IPR016054;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673UHE6	37032	IPR016054;	PF00021;	Prostate and testis expressed 1
A0A673UHM4	37032	IPR016054;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673UIT2	37032	IPR016054;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673UIV0	37032	IPR016054;IPR045860;IPR052874;IPR035076;	PF00087;	Glycosylphosphatidylinositol anchored molecule like
A0A673UJD9	37032	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member E
A0A673UJS8	37032	IPR016054;IPR051445;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673UK95	37032	IPR051110;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member E
A0A673UL26	37032	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6 family member H
A0A673V1S4	37032	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome associated 4
A0A673VDE5	37032	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Secreted LY6/PLAUR domain containing 1
A0A673VNU4	8032	IPR045860;		Phospholipase A2 inhibitor 31 kDa subunit-like
A0A673VP20	37032	IPR051110;IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A673VQ39	37032	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen
A0A673VQ90	37032	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	LY6/PLAUR domain containing 2
A0A673VQB0	8032	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A673VQC8	37032	IPR018363;IPR016054;IPR042339;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member D
A0A673VQF8	37032	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Secreted LY6/PLAUR domain containing 1
A0A673VV90	8032	IPR045860;		Lymphocyte antigen 6 family member pge
A0A673W022	8032	IPR045860;		Phospholipase A2 inhibitor 31 kDa subunit-like
A0A673WVP2	8032	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
