identifier,group,oligomeric_state,last_common_ancestor,length
A0A139WHP8_IPR045860_1_1-75,none,monomer,genus:Tribolium,72-95
A0A177AVM7_IPR045860_1_21-117,Ly6,monomer,genus:Intoshia,95-117
A0A1B6EC83_IPR045860_1_23-101,none,monomer,genus:Clastoptera,72-95
A0A1B8XVH6_IPR045860_2_114-198,Ly6,multimer,genus:Xenopus,72-95
A0A1I7Z3W4_IPR045860_1_16-103,none,monomer,order:Rhabditida,72-95
A0A1L8EAL0_IPR045860_1_28-104,none,monomer,genus:Haematobia,72-95
A0A1S3IN75_IPR045860_1_351-432,none,monomer,genus:Lingula,72-95
A0A1S3W596_IPR045860_1_21-105,none,monomer,genus:Erinaceus,72-95
A0A1Y1KRV1_IPR045860_1_19-95,none,monomer,family:Lampyridae,72-95
A0A210PSF3_IPR045860_1_21-98,none,monomer,genus:Mizuhopecten,72-95
A0A212CDR5_IPR045860_1_10-59,none,monomer,genus:Cervus,50-72
A0A218V2B4_IPR045860_1_103-194,none,monomer,genus:Lonchura,72-95
A0A232EH22_IPR045860_1_34-90,none,monomer,genus:Trichomalopsis,50-72
A0A261CIU9_IPR045860_1_35-107,Ly6,monomer,genus:Caenorhabditis,50-72
A0A267GC28_IPR045860_1_31-88,Ly6,monomer,genus:Macrostomum,50-72
A0A288ZBB5_IPR045860_1_3-86,none,monomer,order:Siluriformes,72-95
A0A2A6D2N4_IPR045860_1_41-126,none,monomer,genus:Pristionchus,72-95
A0A2D0TAH3_IPR045860_1_17-90,none,monomer,family:Ictaluridae,72-95
A0A2G8KCU6_IPR045860_1_18-123,none,monomer,genus:Apostichopus,95-117
A0A2P1DVE1_IPR045860_1_5-99,none,monomer,genus:Meara,72-95
A0A369RZI8_IPR045860_1_33-142,none,monomer,genus:Trichoplax,95-117
A0A3B3Q5S4_IPR045860_1_39-136,none,monomer,order:Osteoglossiformes,95-117
A0A3B3RZP7_IPR045860_1_22-100,none,monomer,genus:Paramormyrops,72-95
A0A3B3VG49_IPR045860_1_9-64,Ly6,monomer,genus:Poecilia,50-72
A0A3B4FCD8_IPR045860_1_59-134,none,monomer,genus:Pundamilia,72-95
A0A3M6UU69_IPR045860_1_18-113,none,monomer,genus:Pocillopora,95-117
A0A3N0YP21_IPR045860_1_3-56,Ly6,monomer,genus:Anabarilius,50-72
A0A3Q0IVC8_IPR045860_1_107-162,none,multimer,genus:Diaphorina,50-72
A0A3Q2NZ27_IPR045860_1_22-99,none,monomer,class:Actinopteri,72-95
A0A3Q3WLZ8_IPR045860_1_36-116,Ly6,monomer,class:Actinopteri,72-95
A0A443SW23_IPR045860_1_1-94,none,monomer,genus:Leptotrombidium,72-95
A0A454Y4K5_IPR045860_1_17-82,none,monomer,genus:Pristionchus,50-72
A0A482VYA9_IPR045860_1_2-84,none,monomer,genus:Asbolus,72-95
A0A498MVS5_IPR045860_1_121-200,none,monomer,genus:Labeo,72-95
A0A4D9DIZ9_IPR045860_1_52-132,none,monomer,genus:Platysternon,72-95
A0A4U5M194_IPR045860_1_3-75,none,monomer,genus:Steinernema,72-95
A0A4U5PGR9_IPR045860_1_10-93,Ly6,monomer,genus:Steinernema,72-95
A0A4W5NN72_IPR045860_1_26-128,Ly6,monomer,genus:Hucho,95-117
A0A5B7CKM9_IPR045860_1_32-123,none,monomer,order:Decapoda,72-95
A0A653DE92_IPR045860_1_43-123,Ly6,monomer,genus:Callosobruchus,72-95
A0A672L668_IPR045860_1_26-94,none,monomer,genus:Sinocyclocheilus,50-72
A0A6F9DJJ4_IPR045860_1_16-98,none,monomer,genus:Phallusia,72-95
A0A6G0TZQ2_IPR045860_1_80-158,none,multimer,genus:Aphis,72-95
A0AAD7RK30_IPR045860_1_26-139,none,monomer,genus:Aldrovandia,95-117
A0AAD7YCG4_IPR045860_1_56-157,none,monomer,order:Lepidoptera,95-117
A0AAD8D962_IPR045860_1_24-141,none,monomer,genus:Acipenser,117-140
A0AAD8LSD9_IPR045860_1_24-102,none,monomer,genus:Acipenser,72-95
A0AAD9J8M3_IPR045860_1_52-138,none,monomer,genus:Paralvinella,72-95
A0AAD9PER3_IPR045860_1_3-76,none,monomer,genus:Ridgeia,72-95
A0AAD9UJU4_IPR045860_1_27-109,Quiver,monomer,genus:Ridgeia,72-95
A0AAE0WA21_IPR045860_1_564-645,none,monomer,genus:Potamilus,72-95
A0AAE1HIN4_IPR045860_1_31-139,none,monomer,genus:Frankliniella,95-117
A0AAF3FJU5_IPR045860_1_12-76,none,monomer,genus:Mesorhabditis,50-72
A0AAN4ZF73_IPR045860_1_20-91,none,monomer,genus:Pristionchus,50-72
A0AAN7XY46_IPR045860_1_70-152,Ly6,monomer,genus:Eleginops,72-95
A0AAN8IG46_IPR045860_1_18-94,none,monomer,genus:Trichostrongylus,72-95
A0AAU9W464_IPR045860_1_17-106,none,monomer,genus:Pocillopora,72-95
A0AAV1PZ55_IPR045860_1_112-197,Ly6,multimer,genus:Scomber,72-95
A0AAV2PUD4_IPR045860_1_5-100,Ly6,monomer,genus:Meganyctiphanes,95-117
A0AAV2ZKM6_IPR045860_1_6-86,SPF,monomer,genus:Pyxicephalus,72-95
A0AAV4D142_IPR045860_1_32-83,none,monomer,genus:Plakobranchus,50-72
A0AAV5TCP7_IPR045860_1_13-73,none,monomer,genus:Pristionchus,50-72
A0AAV6Z700_IPR045860_1_57-144,Ly6,monomer,genus:Engystomops,72-95
A0AAV6ZRR5_IPR045860_1_86-169,mixture,multimer,order:Anura,72-95
A0AAV7TJ28_IPR045860_1_14-133,none,monomer,genus:Pleurodeles,117-140
A0AAW0TBC4_IPR045860_1_33-122,Quiver,monomer,genus:Scylla,72-95
A0AAW0ZY53_IPR045860_1_16-100,mixture,monomer,order:Hymenoptera,72-95
A0AAW1C869_IPR045860_1_16-82,none,monomer,genus:Crotalus,50-72
A0AAY4CVV3_IPR045860_2_19-104,none,multimer,genus:Denticeps,72-95
A0ABD0PZK3_IPR045860_1_34-90,none,monomer,phylum:Chordata,50-72
A0ABD2IWI9_IPR045860_1_20-95,none,monomer,genus:Heterodera,72-95
A0ABD2P5H3_IPR045860_1_22-100,none,monomer,genus:Cryptolaemus,72-95
A0ABD3WF92_IPR045860_1_23-117,none,monomer,genus:Sinanodonta,72-95
A0SJQ8_IPR045860_1_17-115,none,monomer,genus:Oryzias,95-117
D3YUY5_IPR045860_1_21-76,none,monomer,genus:Mus,50-72
G5CTL9_IPR045860_1_25-122,none,monomer,genus:Mnemiopsis,95-117
H2Z344_IPR045860_1_17-111,none,monomer,genus:Ciona,95-117
P14534_IPR045860_1_1-57,mixture,monomer,genus:Bungarus,50-72
Q9N124_IPR045860_1_1-52,none,monomer,genus:Equus,50-72
T1DN33_IPR045860_1_29-137,none,monomer,genus:Anopheles,95-117
T1JE45_IPR045860_1_31-134,none,monomer,genus:Strigamia,95-117
V9KPV0_IPR045860_1_28-106,none,monomer,genus:Callorhinchus,72-95
Centipede3FTx_0038_60158,manually_annotated,monomer,class:Chilopoda,117-140
Centipede3FTx_0102_984703,manually_annotated,monomer,class:Chilopoda,117-140
Centipede3FTx_0134_984703,manually_annotated,monomer,class:Chilopoda,95-117
A0A2K6E5X9_IPR042339_1_1-125,mostly_Ly6,monomer,order:Primates,117-140
A0A098LWU5_IPR045860_1_13-86,3FTx,monomer,order:Squamata,72-95
A0A194ARF2_IPR045860_1_12-82,mixture,monomer,genus:Micrurus,50-72
A0A898INK0_IPR045860_1_12-88,3FTx,monomer,genus:Calliophis,72-95
A0AAW0PV41_IPR045860_2_19-111,none,multimer,genus:Mugilogobius,72-95
A7X3Q9_IPR045860_1_14-85,3FTx,monomer,genus:Trimorphodon,50-72
F5CPE7_IPR003571_1_22-80,3FTx,monomer,genus:Micrurus,50-72
P19003_IPR045860_1_1-63,none,monomer,genus:Aspidelaps,50-72
Q06ZW0_IPR045860_1_35-111,mixture,monomer,genus:Boiga,72-95
Q91126_IPR003571_1_22-83,none,monomer,genus:Naja,50-72
R4FIG8_IPR045860_1_12-79,3FTx,monomer,genus:Furina,50-72
R4G7L9_IPR045860_1_12-81,3FTx,monomer,genus:Vermicella,50-72
V8N389_IPR045860_1_3-72,none,monomer,genus:Ophiophagus,72-95
A0A8T1S0G9_IPR039237_1_3-104,Ly6,monomer,order:Testudines,95-117
G3TS53_IPR026110_1_1-148,none,monomer,genus:Loxodonta,140-162
A0A093IBJ3_IPR045860_1_1-68,none,monomer,genus:Eurypyga,50-72
A0A260Z2M6_IPR045860_1_185-259,none,monomer,genus:Caenorhabditis,50-72
A0A2G9S6A5_IPR045860_1_18-89,none,monomer,genus:Aquarana,50-72
A0A3B3CGU6_IPR016054_2_201-297,Ly6,multimer,genus:Oryzias,95-117
A0A3B3XT67_IPR016054_1_23-116,Ly6,multimer,family:Poeciliidae,72-95
A0A3B5QR19_IPR045860_1_18-104,Ly6,multimer,genus:Xiphophorus,72-95
A0A3Q0RPV6_IPR016054_1_115-195,Ly6,multimer,family:Cichlidae,72-95
A0A3Q3FZ14_IPR016054_1_17-113,Ly6,multimer,genus:Kryptolebias,95-117
A0A401Q2C1_IPR016054_3_109-198,Ly6,multimer,genus:Scyliorhinus,72-95
A0A498NNQ4_IPR045860_1_51-126,none,monomer,genus:Labeo,72-95
A0A662YPA2_IPR016054_2_137-220,Ly6,mixture,genus:Acipenser,72-95
A0A670I9F2_IPR016054_1_21-110,Ly6,monomer,order:Squamata,72-95
A0A673VQ39_IPR016054_1_21-101,Ly6,monomer,class:Mammalia,72-95
A0A6I8SXG5_IPR016054_1_27-105,Ly6,monomer,genus:Xenopus,72-95
A0A6J1W1E9_IPR016054_1_4-93,Ly6,monomer,family:Elapidae,72-95
A0A6J8C386_IPR045860_1_95-167,none,monomer,genus:Mytilus,72-95
A0A6P7WXL4_IPR016054_1_16-105,Ly6,monomer,genus:Microcaecilia,72-95
A0A6P8QQ71_IPR016054_1_21-113,Ly6,monomer,genus:Geotrypetes,72-95
A0A7K6ZLM6_IPR016054_1_4-89,Ly6,monomer,class:Aves,72-95
A0A813XA05_IPR045860_1_14-89,none,monomer,genus:Brachionus,72-95
A0A8B6H551_IPR045860_1_24-96,none,monomer,genus:Mytilus,72-95
A0A8C2AHV0_IPR045860_2_11-96,none,mixture,genus:Cyprinus,72-95
A0A8C6VTY1_IPR016054_1_56-150,Ly6,multimer,genus:Nothobranchius,95-117
A0A8C9XVP9_IPR045860_1_17-98,Ly6,multimer,genus:Sander,72-95
A0A8E0S4D6_IPR045860_1_10-84,none,monomer,family:Fasciolidae,72-95
A0A8M9PNE1_IPR045860_1_16-99,none,multimer,genus:Danio,72-95
A0A8T1S3H9_IPR045860_1_19-68,none,monomer,genus:Chelydra,50-72
A0A8T3CV20_IPR016054_1_111-194,Ly6,monomer,genus:Albula,72-95
A0A8V0Y3K6_IPR045860_1_18-91,none,monomer,genus:Gallus,72-95
A0A9D3SGE3_IPR045860_1_26-104,mixture,monomer,class:Actinopteri,72-95
A0A9Q1DW78_IPR016054_1_115-194,Ly6,multimer,genus:Conger,72-95
A0A9W2XCQ3_IPR016054_1_115-197,Ly6,multimer,genus:Betta,72-95
A0AA88P7J8_IPR016054_1_20-105,Ly6,monomer,genus:Cirrhinus,72-95
A0AAD9QQZ4_IPR045860_1_18-112,none,monomer,genus:Acropora,72-95
A0AAN9CPP5_IPR016054_2_18-108,mixture,multimer,genus:Phoxinus,72-95
A0AAV2ZWG2_IPR016054_3_113-211,Ly6,multimer,order:Anura,95-117
A0AAV6GBZ5_IPR016054_1_19-110,Ly6,multimer,genus:Alosa,72-95
A0AAV7V1N0_IPR045860_1_19-96,none,monomer,genus:Pleurodeles,72-95
A0AAW0MNB0_IPR045860_1_13-78,none,multimer,genus:Mugilogobius,50-72
A0AAW2AZM0_IPR045860_1_43-115,mixture,mixture,family:Xenocyprididae,72-95
A0AB32TH96_IPR045860_2_11-62,Ly6,multimer,genus:Danio,50-72
Q53G57_IPR016054_1_21-112,mostly_Ly6,monomer,class:Mammalia,72-95
W5MCF2_IPR016054_1_121-207,Ly6,multimer,genus:Lepisosteus,72-95
A0A6I9MEH3_IPR038773_1_19-122,none,monomer,genus:Peromyscus,95-117
A0A061I206_IPR016054_2_949-1022,mixture,multimer,order:Rodentia,72-95
A0A091CRE2_IPR016054_1_26-109,none,monomer,genus:Fukomys,72-95
A0A0A0QT07_IPR045860_2_116-196,Ly6,multimer,genus:Notophthalmus,72-95
A0A0E3H597_IPR045860_2_114-195,Ly6,multimer,genus:Notophthalmus,72-95
A0A125S9K5_IPR045860_1_18-108,Ly6,multimer,genus:Ambystoma,72-95
A0A151M3Z5_IPR045860_6_222-294,Ly6,multimer,genus:Alligator,50-72
A0A151P5P8_IPR045860_1_39-127,Ly6,monomer,genus:Alligator,72-95
A0A1L6ZA25_IPR026524_1_19-113,Ly6,monomer,genus:Rattus,72-95
A0A1S3ELT5_IPR016054_1_21-96,Ly6,monomer,genus:Dipodomys,72-95
A0A1U8DPJ7_IPR016054_1_37-119,Ly6,monomer,genus:Alligator,72-95
A0A2G9NT52_IPR045860_1_55-139,Ly6,monomer,genus:Aquarana,72-95
A0A2I4CZA7_IPR045860_2_18-106,Ly6,multimer,genus:Austrofundulus,72-95
A0A2Y9RVA8_IPR045860_4_322-398,Ly6,multimer,genus:Trichechus,72-95
A0A3B4BKF6_IPR016054_1_19-110,Ly6,multimer,genus:Pygocentrus,72-95
A0A3Q0HJY0_IPR045860_1_138-200,Ly6,multimer,genus:Alligator,50-72
A0A3Q1HG57_IPR045860_2_18-105,Ly6,multimer,family:Pomacentridae,72-95
A0A452C7I7_IPR016054_1_49-112,Ly6,multimer,order:Artiodactyla,50-72
A0A452IF29_IPR045860_1_113-195,Ly6,multimer,genus:Gopherus,72-95
A0A513ZV70_IPR045860_2_18-106,Ly6,multimer,genus:Boana,72-95
A0A556U043_IPR016054_1_20-106,Ly6,multimer,genus:Bagarius,72-95
A0A5E4ACG7_IPR045860_3_81-177,mixture,mixture,class:Mammalia,72-95
A0A5F9C6J0_IPR016054_1_27-105,Ly6,monomer,genus:Oryctolagus,72-95
A0A670IQM8_IPR016054_1_23-101,Ly6,multimer,genus:Podarcis,72-95
A0A672K6Q2_IPR045860_2_72-128,Ly6,multimer,genus:Sinocyclocheilus,50-72
A0A6J0SFY5_IPR045860_1_114-194,Ly6,multimer,genus:Pogona,72-95
A0A6J1V388_IPR016054_1_112-205,Ly6,multimer,order:Squamata,72-95
A0A6P6D9J9_IPR045860_2_116-197,Ly6,multimer,genus:Octodon,72-95
A0A6P6EZA3_IPR026524_1_1-387,none,monomer,order:Rodentia,365-387
A0A6P6IYS8_IPR016054_1_18-108,Ly6,monomer,family:Cyprinidae,72-95
A0A6P7I1H2_IPR045860_2_109-192,Ly6,multimer,genus:Parambassis,72-95
A0A6P8N5W7_IPR016054_2_141-235,Ly6,multimer,genus:Geotrypetes,72-95
A0A6P8SJ83_IPR045860_1_18-106,Ly6,multimer,genus:Geotrypetes,72-95
A0A7J7F0G0_IPR016054_3_368-437,Ly6,mixture,order:Perissodactyla,72-95
A0A7N8X9R9_IPR045860_1_30-115,Ly6,multimer,genus:Mastacembelus,72-95
A0A8B7A045_IPR016054_1_329-380,Ly6,multimer,genus:Orycteropus,50-72
A0A8C3ISP7_IPR045860_2_96-181,Ly6,mixture,phylum:Chordata,72-95
A0A8C5RAW5_IPR016054_1_21-113,Ly6,mixture,genus:Leptobrachium,72-95
A0A8C5WN98_IPR045860_2_115-166,Ly6,multimer,genus:Laticauda,50-72
A0A8C6QTR2_IPR016054_3_505-579,Ly6,multimer,genus:Nannospalax,72-95
A0A8C8Z763_IPR016054_1_23-101,Ly6,monomer,genus:Prolemur,72-95
A0A8C9PG69_IPR045860_4_319-397,Ly6,multimer,family:Sciuridae,72-95
A0A8C9V815_IPR016054_1_21-101,none,monomer,genus:Scleropages,72-95
A0A8D0BQD6_IPR016054_1_5-80,Ly6,monomer,genus:Salvator,72-95
A0A8D2IN90_IPR016054_1_19-97,Ly6,monomer,family:Sciuridae,72-95
A0A8I6ASR0_IPR051445_1_50-228,Ly6,monomer,genus:Rattus,162-185
A0A8J6BKP1_IPR045860_1_11-96,Ly6,mixture,genus:Eleutherodactylus,72-95
A0A8T0BWX1_IPR045860_2_119-200,Ly6,multimer,genus:Silurus,72-95
A0A8T2IP10_IPR016054_2_20-113,Ly6,multimer,genus:Hymenochirus,72-95
A0A8U0QAD0_IPR045860_1_17-108,Ly6,multimer,family:Salmonidae,72-95
A0A913X4Y2_IPR045860_1_20-113,Ly6,monomer,genus:Exaiptasia,72-95
A0A974CH38_IPR016054_1_212-298,Ly6,multimer,genus:Xenopus,72-95
A0A974CJ28_IPR045860_3_52-133,mixture,multimer,genus:Xenopus,72-95
A0A9B0WY52_IPR045860_1_22-122,Ly6,multimer,genus:Chrysochloris,95-117
A0A9D3PCQ6_IPR045860_1_39-113,Ly6,monomer,genus:Megalops,72-95
A0A9F2R4S9_IPR045860_1_18-105,Ly6,multimer,genus:Python,72-95
A0A9Q0X862_IPR045860_1_17-100,Ly6,multimer,genus:Phrynocephalus,72-95
A0A9X0A8Z3_IPR045860_1_3-85,Ly6,monomer,genus:Desmophyllum,72-95
A0AA35KMX2_IPR045860_2_17-104,Ly6,multimer,genus:Podarcis,72-95
A0AA40HC10_IPR016054_1_33-112,Ly6,monomer,family:Vespertilionidae,72-95
A0AA41SX92_IPR016054_2_28-93,mostly_Ly6,multimer,class:Mammalia,50-72
A0AA88LW48_IPR045860_2_17-100,Ly6,multimer,genus:Tachysurus,72-95
A0AA97LHY3_IPR045860_1_17-104,Ly6,multimer,genus:Eublepharis,72-95
A0AAD1T4T6_IPR016054_2_20-110,Ly6,multimer,genus:Pelobates,72-95
A0AAD1WL22_IPR045860_5_367-452,Ly6,multimer,genus:Pelobates,72-95
A0AAD1WR05_IPR045860_2_112-200,Ly6,multimer,genus:Pelobates,72-95
A0AAF3EF36_IPR016054_1_25-131,Ly6,monomer,genus:Mesorhabditis,95-117
A0AAN8MBS6_IPR045860_1_19-105,Ly6,monomer,genus:Coregonus,72-95
A0AAQ4PQX0_IPR045860_1_17-105,mixture,monomer,class:Actinopteri,72-95
A0AAV1Q810_IPR045860_1_110-195,Ly6,multimer,genus:Scomber,72-95
A0AAV2K9H5_IPR016054_1_40-133,Ly6,multimer,genus:Knipowitschia,72-95
A0AAV2ZN95_IPR045860_2_1-82,Ly6,multimer,genus:Pyxicephalus,72-95
A0AAV6FTH8_IPR045860_1_18-105,Ly6,monomer,genus:Alosa,72-95
A0AAV6YYU5_IPR045860_1_18-103,Ly6,multimer,genus:Engystomops,72-95
A0AAV6ZFP2_IPR016054_1_21-112,Ly6,multimer,genus:Engystomops,72-95
A0AAV6ZN42_IPR045860_2_16-100,Ly6,multimer,genus:Engystomops,72-95
A0AAV7C5W5_IPR045860_1_1-87,Ly6,mixture,genus:Engystomops,72-95
A0AAV7PZR4_IPR045860_1_18-105,Ly6,multimer,genus:Pleurodeles,72-95
A0AAW0PQM6_IPR045860_1_594-663,none,multimer,genus:Mugilogobius,50-72
A0AAW1AY60_IPR045860_2_17-107,Ly6,multimer,order:Squamata,72-95
A0AAW1Z105_IPR016054_1_19-109,Ly6,monomer,family:Xenocyprididae,72-95
A0AAY4EFU2_IPR045860_1_19-103,Ly6,monomer,genus:Denticeps,72-95
A0ABC9XRS3_IPR045860_2_195-271,Ly6,multimer,genus:Grus,72-95
G3VSL7_IPR016054_3_132-211,Ly6,multimer,genus:Sarcophilus,72-95
H0XTB1_IPR051445_1_5-143,Ly6,monomer,genus:Otolemur,117-140
K7FG20_IPR045860_1_17-106,Ly6,multimer,genus:Pelodiscus,72-95
M3Y587_IPR016054_1_5-60,Ly6,monomer,class:Mammalia,50-72
M7BT12_IPR045860_1_17-99,Ly6,monomer,genus:Chelonia,72-95
P0DQP7_IPR016054_2_129-179,none,multimer,genus:Cerrophidion,50-72
Q63316_IPR051445_1_1-111,Ly6,monomer,genus:Rattus,95-117
Q9CQB8_IPR016054_1_20-98,Ly6,monomer,genus:Mus,72-95
Q9PRF7_IPR045860_2_114-194,none,mixture,family:Elapidae,72-95
S7N4K4_IPR016054_5_923-989,Ly6,multimer,class:Mammalia,50-72
V9LDP6_IPR045860_2_18-99,Ly6,multimer,genus:Callorhinchus,72-95
A0A3B1KEA0_IPR039457_1_44-142,Ly6,monomer,genus:Astyanax,95-117
A0A6P8LKZ0_IPR039457_1_49-120,mixture,monomer,order:Hymenoptera,50-72
A0A7R9P1G2_IPR039457_1_2-109,none,monomer,class:Insecta,95-117
A0A8B7ZW66_IPR039457_1_52-192,mixture,monomer,order:Valvatida,117-140
A0AAD5LEF5_IPR039457_1_22-159,mixture,monomer,genus:Daphnia,117-140
A0AAJ7X4X4_IPR039457_1_17-178,Ly6,monomer,genus:Petromyzon,140-162
R7VBD3_IPR039457_1_37-124,none,monomer,genus:Capitella,72-95
A0A0C5B4Z5_IPR031424_1_20-121,none,monomer,genus:Megaselia,95-117
A0A0K2VBI4_IPR031424_1_14-89,none,monomer,genus:Lepeophtheirus,72-95
A0A0L0C6K8_IPR031424_1_20-139,none,monomer,genus:Lucilia,117-140
A0A182WJ47_IPR045860_1_72-166,none,monomer,family:Culicidae,72-95
A0A1B0CML5_IPR031424_1_22-129,none,monomer,order:Diptera,95-117
A0A1B0GLK0_IPR045860_1_19-105,none,monomer,genus:Lutzomyia,72-95
A0A1B6L2V6_IPR031424_1_25-98,none,monomer,genus:Graphocephala,72-95
A0A1D1VPI4_IPR031424_1_44-130,Quiver,monomer,genus:Ramazzottius,72-95
A0A1L8D728_IPR031424_1_23-98,none,monomer,family:Psychodidae,72-95
A0A1L8DNS5_IPR045860_1_18-100,none,monomer,genus:Nyssomyia,72-95
A0A1S3ID30_IPR045860_1_13-102,none,monomer,genus:Lingula,72-95
A0A1S3K9N0_IPR031424_1_33-122,Quiver,monomer,genus:Lingula,72-95
A0A1W0XER3_IPR031424_1_32-164,none,monomer,order:Parachela,117-140
A0A1Y1KCY9_IPR031424_1_24-115,none,monomer,genus:Photinus,72-95
A0A1Y3AVL1_IPR031424_1_59-156,mixture,monomer,order:Sarcoptiformes,72-95
A0A224XNC3_IPR045860_1_27-122,none,monomer,family:Reduviidae,72-95
A0A3M7T0Z9_IPR031424_1_23-122,Quiver,monomer,genus:Brachionus,95-117
A0A482XDE9_IPR045860_1_25-117,none,monomer,genus:Laodelphax,72-95
A0A6A4WDU8_IPR031424_1_125-216,none,monomer,genus:Amphibalanus,72-95
A0A6J0CFQ8_IPR031424_1_29-123,none,monomer,genus:Neodiprion,72-95
A0A6J2Y7C8_IPR031424_1_24-144,none,monomer,genus:Sitophilus,117-140
A0A6P4FP83_IPR045860_1_22-120,none,monomer,genus:Drosophila,95-117
A0A6P8LML4_IPR045860_1_24-112,mixture,monomer,family:Apidae,72-95
A0A6V7UCS8_IPR031424_1_37-138,mixture,monomer,genus:Meloidogyne,95-117
A0A7E6FPW6_IPR031424_1_22-116,Quiver,monomer,genus:Octopus,95-117
A0A7J7K0Q0_IPR031424_1_36-106,none,monomer,genus:Bugula,50-72
A0A7R8CLD5_IPR031424_1_304-403,mixture,mixture,phylum:Arthropoda,95-117
A0A7R9J8I0_IPR031424_1_89-184,none,monomer,genus:Timema,95-117
A0A7R9S7W4_IPR031424_1_26-123,none,monomer,genus:Argulus,95-117
A0A814RM61_IPR045860_1_17-100,mixture,monomer,genus:Rotaria,72-95
A0A816N3I8_IPR031424_1_30-116,mixture,monomer,genus:Rotaria,72-95
A0A818KK65_IPR031424_1_135-235,Quiver,multimer,genus:Adineta,95-117
A0A820KXX8_IPR031424_1_21-92,mixture,monomer,class:Eurotatoria,72-95
A0A834J2M1_IPR031424_1_53-131,Quiver,monomer,genus:Rhynchophorus,72-95
A0A834XUN1_IPR031424_1_27-150,none,monomer,genus:Aphidius,117-140
A0A8B7Y098_IPR045860_1_18-96,none,monomer,genus:Acanthaster,72-95
A0A8I6RR40_IPR045860_1_17-110,none,monomer,genus:Cimex,72-95
A0A8J2HMT5_IPR031424_1_24-128,none,monomer,family:Braconidae,95-117
A0A8J9Y7L0_IPR031424_1_23-136,none,monomer,genus:Brenthis,95-117
A0A8K0GML0_IPR045860_1_20-122,none,monomer,genus:Ignelater,95-117
A0A8S0ZKU1_IPR031424_1_23-126,none,monomer,order:Lepidoptera,95-117
A0A8S4N0L1_IPR031424_1_72-160,Quiver,monomer,genus:Owenia,72-95
A0A8S9YKJ5_IPR031424_1_33-120,Quiver,monomer,genus:Paragonimus,72-95
A0A8X6HAH0_IPR045860_1_22-120,mixture,monomer,order:Araneae,95-117
A0A914WY03_IPR031424_1_48-162,Quiver,monomer,genus:Plectus,95-117
A0A9D4HFX0_IPR031424_1_26-98,none,monomer,genus:Dreissena,72-95
A0A9J6CNA4_IPR031424_1_20-107,mixture,monomer,family:Chironomidae,72-95
A0A9N9QAX1_IPR045860_1_25-116,Quiver,monomer,genus:Ceutorhynchus,72-95
A0A9N9X1T9_IPR031424_1_23-142,none,monomer,genus:Phaedon,117-140
A0A9P0CBC9_IPR031424_1_34-130,none,monomer,genus:Bemisia,95-117
A0A9P0FN86_IPR045860_1_18-116,none,monomer,genus:Brassicogethes,95-117
A0A9Q0M0P1_IPR031424_1_55-148,none,monomer,genus:Blomia,72-95
A0A9X6NAD9_IPR031424_1_29-119,none,monomer,genus:Hypsibius,72-95
A0AA38I537_IPR031424_1_43-135,none,monomer,family:Tenebrionidae,72-95
A0AA39IM01_IPR045860_1_16-109,none,monomer,genus:Steinernema,72-95
A0AA88LIV0_IPR031424_1_24-118,none,monomer,genus:Artemia,95-117
A0AAD8EMX0_IPR031424_1_22-137,none,monomer,genus:Diploptera,95-117
A0AAJ7BQA7_IPR031424_1_27-129,none,monomer,genus:Cephus,95-117
A0AAN5I9I8_IPR031424_1_45-117,Ly6,monomer,genus:Pristionchus,72-95
A0AAR5QIQ2_IPR031424_1_22-121,none,monomer,genus:Dendroctonus,95-117
A0AAV1K581_IPR031424_1_21-96,none,monomer,order:Lepidoptera,72-95
A0AAV2AUC6_IPR031424_1_29-123,none,monomer,order:Araneae,95-117
A0AAV5V8D1_IPR031424_1_18-128,Quiver,monomer,genus:Pristionchus,95-117
A0AAV8W3Q6_IPR031424_1_26-152,none,monomer,genus:Exocentrus,117-140
A0AAW1UQA4_IPR031424_1_19-127,none,monomer,genus:Henosepilachna,95-117
A0AAW2I038_IPR031424_1_25-140,none,monomer,genus:Menopon,95-117
T1JY73_IPR045860_1_23-115,none,monomer,genus:Tetranychus,72-95
V3ZXE8_IPR045860_1_21-112,none,monomer,genus:Lottia,72-95
A0A8B7SLN9_IPR051445_1_5-68,Ly6,monomer,genus:Hipposideros,50-72
A0A060XC14_IPR045860_1_63-135,none,monomer,phylum:Chordata,72-95
A0A067R5J7_IPR045860_1_66-168,none,monomer,order:Blattodea,95-117
A0A090KQS6_IPR045860_1_70-179,none,monomer,genus:Strongyloides,95-117
A0A0A9XM35_IPR045860_1_87-170,none,monomer,family:Miridae,72-95
A0A0B2UV57_IPR045860_1_22-95,none,monomer,genus:Toxocara,72-95
A0A0N4WBZ6_IPR045860_1_21-109,none,monomer,family:Trichostrongylidae,72-95
A0A139WCU3_IPR045860_1_17-102,none,monomer,genus:Tribolium,72-95
A0A151J326_IPR045860_1_1-90,none,monomer,family:Formicidae,95-117
A0A158Q9P8_IPR045860_1_62-174,none,monomer,genus:Enterobius,95-117
A0A183DTS5_IPR045860_1_10-84,none,monomer,genus:Gongylonema,72-95
A0A1B6BYG4_IPR045860_1_85-185,none,monomer,genus:Clastoptera,95-117
A0A1D2MYQ4_IPR045860_1_27-117,none,monomer,genus:Orchesella,72-95
